title,authors,pub_year,citations,url
Slower but more accurate mental rotation performance in aphantasia linked to differences in cognitive strategies,"L Kay, R Keogh, J Pearson - Consciousness and cognition, 2024",,41,https://www.sciencedirect.com/science/article/pii/S1053810024000618
"Exploring the effectiveness of augmented reality in enhancing spatial reasoning skills: A study on mental rotation, spatial orientation, and spatial visualization in …","AA Supli, X Yan - Education and information technologies, 2024",,23,https://link.springer.com/article/10.1007/s10639-023-12255-w
"Attentional, anticipatory and spatial cognition fluctuate throughout the menstrual cycle: Potential implications for female sport","F Ronca, JM Blodgett, G Bruinvels, M Lowery… - Neuropsychologia, 2025",,18,https://www.sciencedirect.com/science/article/pii/S0028393224001246
Can 3-dimensional visualization enhance mental rotation (MR) ability?: A systematic review,"Z Piri, K Cagiltay - International Journal of Human–Computer …, 2024",,17,https://www.tandfonline.com/doi/abs/10.1080/10447318.2023.2196161
The influence of the design of mental rotation trials on performance and possible differences between sexes: A theoretical review and experimental investigation,"L Jost, P Jansen - Quarterly Journal of Experimental …, 2024",,17,https://journals.sagepub.com/doi/abs/10.1177/17470218231200127
Defining and Evaluating Visual Language Models' Basic Spatial Abilities: A Perspective from Psychometrics,"W Xu, D Lyu, W Wang, J Feng, C Gao, Y Li - arXiv preprint arXiv …, 2025",,14,https://arxiv.org/abs/2502.11859
The nature and development of cognitive offloading in children,"KL Armitage, SJ Gilbert - Child Development Perspectives, 2025",,10,https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/cdep.12532
Utilizing augmented reality for embodied mental rotation training: A learning analytics study,"J Yu, AR Denham - British Journal of Educational Technology, 2024",,10,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13397
Embodied mental rotation ability in open-and closed-skill sports: Pilot study with a new virtual paradigm,"M Geisen, M Raab, P Jansen, S Klatt - Experimental brain research, 2024",,10,https://link.springer.com/article/10.1007/s00221-023-06753-z
The impact of presentation modes on mental rotation processing: a comparative analysis of eye movements and performance,"P Stark, E Bozkir, W Sójka, M Huff, E Kasneci… - Scientific Reports, 2024",,9,https://www.nature.com/articles/s41598-024-60370-6
Gender stereotypes in preschoolers' mental rotation,"WM Ebert, L Jost, P Jansen - Frontiers in Psychology, 2024",,9,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1284314/full
Degraded visibility body-specifically affects mental rotation,"Z Rotach, C Beazley, S Ionta - Behavioral Sciences, 2024",,8,https://www.mdpi.com/2076-328X/14/9/784
Enhancing student's interactivity and responses in learning geometry by using augmented reality,"D Rohendi, MO Ramadhan, SSA Rahim… - Eurasia Journal of …, 2025",,8,https://www.ejmste.com/article/enhancing-students-interactivity-and-responses-in-learning-geometry-by-using-augmented-reality-15796
Beyond numbers: the role of mathematics self-concept and spatial anxiety in shaping mental rotation performance and STEM preferences in primary education,"M Lennon-Maslin, C Quaiser-Pohl… - Frontiers in Education, 2024",,8,https://www.frontiersin.org/articles/10.3389/feduc.2024.1300598/full
Design and validation of a virtual reality mental rotation test,"KA Bartlett, A Palacios-Ibáñez, JD Camba - ACM Transactions on …, 2024",,8,https://dl.acm.org/doi/abs/10.1145/3626238
Transcranial temporal interference stimulation (tTIS) influences event‐related alpha activity during mental rotation,"C Thiele, KS Rufener, S Repplinger, T Zaehle… - …, 2024",,7,https://onlinelibrary.wiley.com/doi/abs/10.1111/psyp.14651
Mental rotation abilities of gymnasts and soccer players: a comparison of egocentric and object-based transformations. An exploratory and preliminary study,"TJ Klotzbier, N Schott - Frontiers in Psychology, 2024",,7,https://www.frontiersin.org/journals/psychology/articles/10.3389/fpsyg.2024.1355381/full
Visual working memory as the substrate for mental rotation: A replication,"WM Ebert, L Jost, P Jansen, B Stevanovski… - Psychonomic Bulletin & …, 2025",,6,https://link.springer.com/article/10.3758/s13423-024-02602-4
Don't disturb my circles: The effect of fine arts training on visuospatial ability in students,"M Martinčević, A Vranić - Memory & cognition, 2025",,6,https://link.springer.com/article/10.3758/s13421-023-01446-y
Exploring neural efficiency in spatial cognition: A comparative study of 3D visual stimuli in virtual reality across STEM and non-STEM fields,"R da Silva Soares Jr, AYA Oku, CSF Barreto… - Behavioural Brain …, 2025",,6,https://www.sciencedirect.com/science/article/pii/S0166432824004443
