title,authors,year,citations,url
Slower but more accurate mental rotation performance in aphantasia linked to differences in cognitive strategies,"L Kay, R Keogh, J Pearson - Consciousness and cognition, 2024",N/A,41,https://www.sciencedirect.com/science/article/pii/S1053810024000618
"Exploring the effectiveness of augmented reality in enhancing spatial reasoning skills: A study on mental rotation, spatial orientation, and spatial visualization in …","AA Supli, X Yan - Education and information technologies, 2024",N/A,23,https://link.springer.com/article/10.1007/s10639-023-12255-w
"Attentional, anticipatory and spatial cognition fluctuate throughout the menstrual cycle: Potential implications for female sport","F Ronca, JM Blodgett, G Bruinvels, M Lowery… - Neuropsychologia, 2025",N/A,18,https://www.sciencedirect.com/science/article/pii/S0028393224001246
"Attentional, anticipatory and spatial cognition fluctuate throughout the menstrual cycle: Potential implications for female sport","F Ronca, JM Blodgett, G Bruinvels, M Lowery… - Neuropsychologia, 2025",N/A,18,https://www.sciencedirect.com/science/article/pii/S0028393224001246
The influence of the design of mental rotation trials on performance and possible differences between sexes: A theoretical review and experimental investigation,"L Jost, P Jansen - Quarterly Journal of Experimental …, 2024",N/A,17,https://journals.sagepub.com/doi/abs/10.1177/17470218231200127
Can 3-dimensional visualization enhance mental rotation (MR) ability?: A systematic review,"Z Piri, K Cagiltay - International Journal of Human–Computer …, 2024",N/A,17,https://www.tandfonline.com/doi/abs/10.1080/10447318.2023.2196161
Defining and Evaluating Visual Language Models' Basic Spatial Abilities: A Perspective from Psychometrics,"W Xu, D Lyu, W Wang, J Feng, C Gao, Y Li - arXiv preprint arXiv …, 2025",N/A,14,https://arxiv.org/abs/2502.11859
The nature and development of cognitive offloading in children,"KL Armitage, SJ Gilbert - Child Development Perspectives, 2025",N/A,10,https://srcd.onlinelibrary.wiley.com/doi/abs/10.1111/cdep.12532
Utilizing augmented reality for embodied mental rotation training: A learning analytics study,"J Yu, AR Denham - British Journal of Educational Technology, 2024",N/A,10,https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/bjet.13397
Embodied mental rotation ability in open-and closed-skill sports: Pilot study with a new virtual paradigm,"M Geisen, M Raab, P Jansen, S Klatt - Experimental brain research, 2024",N/A,10,https://link.springer.com/article/10.1007/s00221-023-06753-z
